Feature,Ridge,Lasso
crim,-0.10923406107683856,-0.1041569141865021
zn,0.03227068627331457,0.034893347689007266
indus,0.007498059418199492,-0.016785271539812997
chas,2.545469981972352,0.9199518239428703
nox,-9.537951588455789,-0.0
rm,4.464505368775927,4.3116865455176345
age,-0.012191017615920976,-0.01512582985388959
dis,-1.338700395556108,-1.151487291530181
rad,0.2488818162236821,0.2392369509185947
tax,-0.011474621094828824,-0.012962229824653438
ptratio,-0.8286042836530543,-0.7322467766642077
black,0.012642112364578791,0.013090571194095865
lstat,-0.5238330160387951,-0.5646744158093673
