Feature,Permutation_RF,SHAP_RF,LogReg,Permutation_RF_Norm,SHAP_RF_Norm,LogReg_Norm
hosts_time_as_user_months,0.015313225058004665,0.009081284273829917,0.10990429049446027,0.03854625550660794,0.04826702832525839,0.03714275851667203
hosts_time_as_host_months,0.012993039443155496,0.006637082507718536,0.006483517184271132,0.03303964757709257,0.0351177686808379,0.0009304415004167657
host_response_rate,0.42041763341067295,0.18599066724588972,1.5633616087432491,1.0,1.0,0.5460642787625073
host_identity_verified,0.003944315545243671,0.0013798684524208046,1.1973171420956639,0.011563876651982458,0.006835131143353801,0.41789546079658607
latitude,0.01832946635730861,0.01227641306025161,0.11356302913555093,0.04570484581497798,0.06545610763635912,0.03842384933924225
longitude,0.016782675947409155,0.008518818250771413,0.007795496384289584,0.042033773861967716,0.045241086735285804,0.0013898250960828452
accommodates,0.005568445475638062,0.0036292171181601064,0.12351624850680296,0.015418502202643155,0.018936124623811446,0.04190892418124791
bathrooms,-0.0009280742459396585,0.0012640903836746546,0.0476574629908753,0.0,0.006212270989916158,0.015347312798477045
bedrooms,0.001701469450889448,0.0020004205321394607,0.036407276641518334,0.006240822320117537,0.010173562745949206,0.0114081108225552
beds,0.005723124516627998,0.006242097501068498,0.08425578358305062,0.01578560939794416,0.03299283755604064,0.02816204957840233
minimum_nights,0.007347254447022456,0.014539214444444138,0.0790455043905569,0.01964023494860501,0.0776294737377343,0.026337693834166245
maximum_nights,0.03248259860788866,0.022715721832394703,0.18993133652052524,0.07929515418502203,0.12161725744666113,0.06516386750488731
has_availability,-0.00015467904098992458,0.00020660445285336027,0.24614420486633512,0.00183553597650515,0.0005232328476954403,0.08484654965643276
availability_365,0.04369682907965973,0.051592599721010345,0.003826217474622631,0.10591042584434654,0.2769684114889617,0.0
number_of_reviews,0.05591647331786546,0.04290115797778554,0.3568524717442812,0.13491189427312775,0.2302103959476172,0.12361054965554516
review_scores_rating,0.26511987625676725,0.08197477264460606,0.31692088768375204,0.6314243759177679,0.44041771664580814,0.10962868571584994
instant_bookable,0.003712296983758745,0.004340413110969898,0.30123542126958747,0.0110132158590309,0.02276220023556649,0.1041364904425277
host_tenure_days,0.02211910286156229,0.010716125084018301,0.029673287783276873,0.05469897209985318,0.05706210677930211,0.0090502350156592
host_verifications_count,0.0006960556844547994,0.003827478130673759,0.20486313249747184,0.0038546255506608546,0.020002724594015756,0.07039216847608072
amenities_count,0.08399071925754062,0.05985988798644114,0.498990149355878,0.20154185022026427,0.3214445760448736,0.1733794159759281
room_type_Hotel room,0.000850734725444724,0.0017410496015727978,2.859781920716832,0.004221732745961832,0.008778205064139644,1.0
room_type_Private room,0.0014694508894045222,0.00210631696211674,0.10152251138377026,0.0056901615271659775,0.010743261889651152,0.03420791638968294
room_type_Shared room,-7.733952049496784e-05,0.0001461689431052009,0.5587578898943137,0.0020190895741556258,0.00019810330215642446,0.19430682058188356
neighbourhood_group_cleansed_Brooklyn,0.0013921113689095432,0.001578475244595929,0.25427679676631537,0.00550660792951545,0.007903591330914752,0.08769414000622276
neighbourhood_group_cleansed_Manhattan,0.007733952049497306,0.007738018512344427,0.4396340214248162,0.02055800293685755,0.04104055851653474,0.15259613566675595
neighbourhood_group_cleansed_Queens,0.0021655065738592884,0.0017595361420061075,0.14416587105954032,0.007342143906020627,0.00887765852311959,0.04913929632227761
neighbourhood_group_cleansed_Staten Island,7.733952049497894e-05,0.00010934523940651493,0.12696789952211615,0.0023861967694566557,0.0,0.04311750420627937
