SEG_KM_SUM,BP_SUM,LAST_TO_END,AVG_INTERVAL,MEMBERSHIP_DAYS,AVG_KM_PER_FLIGHT,avg_discount
4.179012636490539,3.9052283740955476,-0.9303167080678992,-2.280468381687038,1.4229065901478906,0.9936960853456259,1.2832580020039217
3.451969545917842,3.60708188068291,-0.896352548791444,-1.9553926440728595,1.2944585281044991,0.411400048488325,2.9042847032348025
3.415153218797053,3.57860423799775,-0.8737097759404738,-1.9386073609391266,1.315670134680472,0.4147757780093357,2.9174518555949165
3.4061849354236524,3.542502680190043,-0.3868901596446154,-0.40784163610871044,0.6463261049497706,9.250516828287314,2.003945507510295
3.5094010958740256,3.3554151509390207,-0.9076739352169291,-2.0235911839485836,0.3741104872247847,0.36020202248019434,1.3335539680792667
3.455257924620846,3.4763289044407584,-0.4887826374739811,-1.6926338753586234,0.8749400869352566,1.3745778444178247,1.3170165793571298
3.427596814185471,3.2695681406563315,-0.9303167080678992,-1.6745405656047185,1.6880516723475523,1.0605770631024956,1.303933792210548
3.428295023946741,3.442847114831455,-0.9189953216424142,-1.3678064556918115,-0.054835334644890134,2.013590842597152,1.2856625834691016
3.548455813191113,3.319009002473861,-0.9020132420041865,-1.131494651503305,-0.554486511767808,3.5889702086616158,0.540652248950025
3.7128504676487726,3.094912433661573,-0.8510670030895037,-1.2628640013920043,-0.1573580997620926,3.6933341575463756,-0.13116924962050885
3.3303054331406123,3.432250864328525,-0.8114421506003059,-0.8920421687579557,-0.31762357166944366,3.8963769213168105,1.4339364650373234
3.3679912208932983,3.2952670317332444,-0.9020132420041865,-1.9827868402113773,2.270192430599254,0.2145329164661069,1.232486221254878
3.5485884862420938,3.1183237344872565,-0.5567109560268916,-0.593400216362479,1.3981597158092556,8.252030506579075,0.37696737806436503
2.927060542116026,3.243033638707222,-0.9189953216424142,-1.8045700582131974,1.4323339708483231,-0.09133047727216584,3.718866876898282
3.3625913731641632,3.406604627680454,-0.9246560148551567,-1.0088536208103116,0.02411897872123133,3.2928284410181625,1.0621160652544448
3.2130063800648343,3.394910650202244,-0.5680323424523767,-0.29814471639727996,0.8195542253202162,7.887390199638125,1.6426552783352342
2.8828944283718263,3.1589057700350955,-0.896352548791444,-1.7184593821064884,-0.16914232563763315,0.06911239732087182,3.6527441239145624
3.416835789507633,3.2732319242879933,-0.6812462067072275,-0.8502696843846205,-0.30819619096901124,4.777885186554859,0.592884209296805
2.864955906571481,3.138347523233428,-0.9246560148551567,-1.273271142161289,1.6703753335342415,0.8898170370479066,3.7367934921105563
3.585637404944806,3.032240546858475,-0.8001207641748208,-0.7931797033188688,-0.6522955865347944,6.222612411990073,-0.12963420760695704
2.850725419164965,3.1615373313041153,-0.9133346284296716,-1.7713771145128059,0.6734298244635138,-0.04315666623835909,3.5572656338309776
3.117385128580308,3.293442809096976,-0.9020132420041865,-0.24584192307829955,-0.554486511767808,6.719398063796755,1.8408886466342984
3.4931824875220343,3.0421965029695284,-0.8057814573875633,-1.6403661961880671,2.095785887641254,1.4141141951047072,0.05728996701161667
3.1554108154774894,3.296121736686517,-0.5170861035376938,-0.24939546801469584,-0.05954902499510634,8.279760389666366,1.5245387205073682
3.408082260201295,3.0946758226642794,-0.8397456166640186,-0.9470670271210127,0.008799485083028658,4.168555729584155,0.3110582261124194
3.2529252328760734,3.243423583984566,-0.8397456166640186,-1.2700180094104174,-0.2763787811050518,2.0097254982205337,0.9561865164693861
2.975844736946793,3.149943156674724,-0.9189953216424142,-2.291585512489443,1.315670134680472,-0.6487222945406537,2.3133722662810206
2.726128600474189,3.1163624417353666,-0.8737097759404738,-1.4253486997737645,2.1959518075833486,0.33426002348302675,3.913956893707569
2.798520440437588,3.114444009573855,-0.834084923451276,-1.688138058124702,1.7752549438265521,-0.044031552745505374,3.3830796528298146
2.730201744143163,3.0727845325749508,-0.8737097759404738,-1.550257298756647,0.7252804183158921,0.07810108965542897,3.8657187796694474
2.692549148188794,3.0510086553704174,-0.9246560148551567,-1.1027885882901864,1.6644832205964712,0.9527865483799675,4.11393875447946
2.7287646772891194,3.060832506748868,-0.8906918555787015,-1.6284094719283486,2.2560513595486054,-0.04974942687245681,3.8109579207408797
3.1485216817810335,3.072110709632972,-0.8454063098767611,-1.908132875672282,2.0946074650537003,0.05286206402130394,1.1898206727172072
